# rubi_dict.csv — 振假名用户词典
# 格式：表层形式,片假名读音[,k][,切分规格]
#   k / K      → 振假名保持片假名输出（不转平假名）
#   切分规格   → 用 | 分隔，每段对应一个表层字符；数字=消耗读音字符数，g/G=剩余字符整体成组
# 例：太原,タイユアン,k,2|3  → 太[タイ] 原[ユアン]（片假名输出）
#     東京都,トウキョウト,,2|g  → 東[トウ] 京都[キョウト]（整体成组）
# 以 # 开头的行为注释，读音请用片假名（全角）。

# ── 人称 ──
私,ワタシ

# ── 特殊日期词 ──
明日,アシタ
その後,ソ|ノ|アト

日本,ニホン,,1|2
太原,タイユアン,k,2|3
北京,ベイジン,k,2|2
上海,シャンハイ,k,3|2
广州,グワンジョウ,k,3|3
深圳,シェンジェン,k,3|3
成都,チェンドゥ,k,3|2
重庆,チョンチン,k,3|2
杭州,ハンジョウ,k,2|3
武汉,ウーハン,k,2|2
西安,シーアン,k,2|2
天津,ティエンチン,k,4|2
南京,ナンジン,k,2|2
青岛,チンダオ,k,2|2
厦门,シアメン,k,2|2
大连,ダーリエン,k,2|3
长沙,チャンシャー,k,3|2
哈尔滨,ハルビン,k,2|1|2
台北,タイペイ,k,2|2
高雄,カオシュン,k,2|3
台中,タイチュン,k,2|3
台南,タイナン,k,2|2
新竹,シンチュー,k,2|3
基隆,キールン,k,3|2
